Time (UTC) , i value , j value , latitude , longitude ," u (west to east wind, m/s) "," v (south to north wind, m/s) ", temperature (C) , relative humidity (%) , vertical velocity (cm/s) , pressure (mb) , water vapor  (g/kg) , turbulent kinetic energy (m^2/s^2) , precipitation rate (mm/hr), sensible heat flux (W/m^2) , Latent heat flux (W/m^2) , tracer concentration,leakage,classify_pred,regression_pred
17.1,16,39,33.252,-81.676,3.39685,0.85503,14.53681,37.84651,3.43106,992.19055,3.99603,0.82142,0,196.03473,2.01548,0.0,0,0,0.0
17.1,25,4,33.217,-81.667,3.38861,0.68147,14.55466,38.32629,-0.73452,994.20599,4.04308,0.75614,0,186.98717,58.71273,0.0,0,0,0.0
17.1,22,24,33.237,-81.67,3.63612,0.79385,14.46366,38.18703,-1.50763,994.02051,4.00513,0.68974,0,221.32864,1.30168,0.0,0,0,0.0
17.1,69,50,33.263,-81.623,3.57954,0.66554,14.67326,36.81382,2.80317,991.9472,3.92296,0.91486,0,331.10239,0.51381,0.0,0,0,0.0
17.1,51,26,33.239,-81.641,3.64974,0.54572,14.54847,37.49994,-9.31137,992.84778,3.9598,0.84863,0,212.4079,1.22573,0.0,0,0,0.0
17.1,7,30,33.243,-81.685,3.55291,0.85285,14.46993,38.21771,0.58951,993.29297,4.01299,0.72426,0,218.34129,1.36896,0.0,0,0,0.0
17.1,18,21,33.234,-81.674,3.57951,0.70467,14.5242,38.21084,-1.58352,994.59436,4.02124,0.70276,0,218.33786,1.21818,0.0,0,0,0.0
17.1,73,52,33.265,-81.619,3.5492,0.5134,14.74976,36.58289,10.66234,991.81519,3.9185,0.95393,0,330.13293,0.63832,0.0,0,0,0.0
17.1,73,49,33.262,-81.619,3.66919,0.69621,14.61846,36.87757,1.00741,991.52136,3.91734,0.93956,0,331.42133,0.63558,0.0,0,0,0.0
17.1,71,65,33.278,-81.621,3.80745,-0.07479,14.50856,37.21022,-5.37769,992.15369,3.92169,0.79087,0,326.03259,1.092,0.0,0,0,0.0
17.1,78,4,33.217,-81.614,3.86865,0.79906,14.47257,37.503,-5.21283,991.75323,3.94483,0.82665,0,220.03722,1.53607,0.0,0,0,0.0
17.1,70,55,33.268,-81.622,3.41421,0.24363,14.84395,36.43659,11.1079,992.8161,3.92298,0.93003,0,323.03543,0.56368,0.0,0,0,0.0
17.1,68,34,33.247,-81.624,3.79674,0.43551,14.47529,37.33662,-7.66526,991.89886,3.92745,0.87132,0,327.43158,0.61559,0.0,0,0,0.0
17.1,13,22,33.235,-81.679,3.57564,0.77663,14.56065,38.13509,-3.01064,994.9895,4.02127,0.70688,0,219.93932,1.34482,0.0,0,0,0.0
17.1,35,20,33.233,-81.657,3.6959,0.48799,14.37673,38.25913,2.48777,992.02173,3.99799,0.74058,0,336.3551,1.05401,0.0,0,0,0.0
17.1,49,6,33.219,-81.643,3.71762,0.86465,14.70536,37.47086,-1.54297,994.87872,3.98941,0.70961,0,330.11252,0.63959,0.0,0,0,0.0
17.1,62,43,33.256,-81.63,3.68656,0.79111,14.46066,37.41696,3.38942,991.52295,3.93364,0.76073,0,328.75339,0.7049,0.0,0,0,0.0
17.1,12,10,33.223,-81.68,3.24731,0.58003,14.48114,38.46141,-0.85491,993.16479,4.04209,0.818,0,218.44191,55.16481,0.0,0,0,0.0
17.1,65,45,33.258,-81.627,3.63668,0.7491,14.50266,37.27129,0.85101,991.51398,3.9292,0.82167,0,327.91306,0.59976,0.0,0,0,0.0
17.1,66,59,33.272,-81.626,3.58575,0.03191,14.72541,36.78226,5.8662,993.26746,3.92772,0.80596,0,324.30658,0.51891,0.0,0,0,0.0
17.1,61,48,33.261,-81.631,3.67574,0.77296,14.51138,37.2883,1.92638,991.51678,3.93323,0.77343,0,327.9971,0.50393,0.0,0,0,0.0
17.1,21,28,33.241,-81.671,3.56966,0.91209,14.47395,38.07871,-1.69857,993.78198,3.99745,0.68053,0,217.35449,1.25875,0.0,0,0,0.0
17.1,11,18,33.231,-81.681,3.4554,0.64214,14.52629,38.33233,-3.88939,994.3382,4.03564,0.75151,0,200.30048,57.33722,0.0,0,0,0.0
17.1,38,41,33.254,-81.654,3.59255,0.9042,14.47204,37.72752,6.81339,992.3324,3.96597,0.66805,0,204.33296,1.4545,0.0,0,0,0.0
17.1,21,10,33.223,-81.671,3.20946,0.552,14.51348,38.36438,5.8953,992.99017,4.04119,0.8054,0,296.52094,61.31497,0.0,0,0,0.0
17.1,8,29,33.242,-81.684,3.56738,0.86628,14.45657,38.2433,0.29431,993.29486,4.01213,0.71433,0,220.93463,1.40803,0.0,0,0,0.0
17.1,7,7,33.22,-81.685,3.19836,0.67378,14.53851,38.37566,1.77641,993.26996,4.04785,0.87873,0,302.96722,57.89696,0.0,0,0,0.0
17.1,78,49,33.262,-81.614,3.70131,0.73416,14.63884,36.76857,0.08624,991.49646,3.9111,0.96641,0,328.258,0.78839,0.0,0,1,4.832403921462003e-11
17.1,47,16,33.229,-81.645,3.42052,0.37943,14.57062,37.65208,0.56052,992.15027,3.98449,0.86101,0,325.401,0.56801,0.0,0,0,0.0
17.1,54,62,33.275,-81.638,3.65338,0.24215,14.4524,37.56183,4.82123,992.0321,3.94466,0.70746,0,214.07265,1.12021,0.0,0,0,0.0
17.1,60,10,33.223,-81.632,3.5489,0.75783,14.84515,36.92664,6.52271,994.05872,3.97101,0.93034,0,334.25507,0.50562,0.0,0,0,0.0
17.1,14,5,33.218,-81.678,3.13238,0.58675,14.56502,38.31442,-5.39254,993.737,4.04652,0.85669,0,189.42349,48.79176,0.0,0,0,0.0
17.1,61,10,33.223,-81.631,3.5765,0.73724,14.82011,36.95879,7.33237,993.75482,3.96918,0.93704,0,334.2446,0.50495,0.0,0,0,0.0
17.1,29,8,33.221,-81.663,3.37155,0.65709,14.55034,38.2083,3.96688,993.40192,4.0328,0.77264,0,305.76294,0.90699,0.0,0,0,0.0
17.1,8,62,33.275,-81.684,3.42032,0.37361,14.55996,37.95358,4.26384,992.23425,4.01325,0.91882,0,326.99496,0.98262,0.0,0,0,0.0
17.1,67,21,33.234,-81.625,3.69137,0.32346,14.81956,36.73806,-4.65169,994.26318,3.94326,1.00255,0,327.58752,0.39936,0.0,0,0,0.0
17.1,69,48,33.261,-81.623,3.63689,0.71637,14.58298,37.01821,-0.71241,991.62622,3.92271,0.89709,0,330.85544,0.57209,0.0,0,0,0.0
17.1,15,5,33.218,-81.677,3.12562,0.58342,14.58168,38.28054,-5.45137,993.95203,4.04647,0.84684,0,187.10573,50.83834,0.0,0,0,0.0
17.1,9,28,33.241,-81.683,3.58046,0.87187,14.44337,38.26894,0.31736,993.2865,4.01137,0.70844,0,222.86116,1.42597,0.0,0,0,0.0
17.1,5,68,33.281,-81.687,3.50949,0.38349,14.52075,38.1697,4.67323,992.61383,4.02416,0.8966,0,192.19241,1.7206,0.0,0,0,0.0
17.1,23,66,33.279,-81.669,3.31971,0.24232,14.59357,37.67516,-0.78595,993.05743,3.98925,0.84124,0,190.77046,1.86533,0.0,0,0,0.0
17.1,64,27,33.24,-81.628,3.78065,0.42661,14.61114,37.16175,3.81927,992.60254,3.94127,0.91226,0,329.67203,0.21555,0.0,0,0,0.0
17.1,54,36,33.249,-81.638,3.8441,0.80191,14.28639,37.93566,-3.82063,991.54468,3.94262,0.69617,0,272.17856,1.0214,2.011e-12,1,1,7.695513670746834e-11
17.1,55,36,33.249,-81.637,3.88558,0.78621,14.29721,37.89806,0.40964,991.54602,3.94151,0.69648,0,340.67361,0.7426,2.011e-12,1,1,8.300735099275869e-11
17.1,56,36,33.249,-81.636,3.90782,0.76869,14.3074,37.86068,0.82885,991.54657,3.94026,0.70029,0,337.29694,0.74859,6.032e-12,1,1,5.771774724827594e-11
17.1,57,36,33.249,-81.635,3.91401,0.7528,14.31557,37.82892,0.00454,991.54535,3.93907,0.708,0,335.18524,0.75223,1.206e-11,1,1,5.1374265952475184e-11
17.1,58,36,33.249,-81.634,3.91458,0.73625,14.32467,37.79445,-1.05347,991.54315,3.93785,0.7184,0,333.50992,0.7526,6.032e-12,1,1,5.803194036424486e-11
17.1,59,36,33.249,-81.633,3.91065,0.71898,14.33458,37.75768,-2.15173,991.54034,3.9366,0.73135,0,332.30017,0.75189,7.64e-12,1,1,4.16552625726041e-11
17.1,60,36,33.249,-81.632,3.90441,0.70219,14.34297,37.72535,-3.01593,991.53784,3.93542,0.74532,0,331.75287,0.75911,1.26e-11,1,1,4.2495645891094114e-11
17.1,61,36,33.249,-81.631,3.8975,0.68395,14.35251,37.68953,-3.7748,991.53693,3.93415,0.76104,0,331.42892,0.76415,1.394e-11,1,1,4.2432141134085555e-11
17.1,62,36,33.249,-81.63,3.89098,0.66538,14.36185,37.65403,-4.44391,991.53577,3.93286,0.77702,0,331.33856,0.76234,9.249e-12,1,1,4.0301401105224954e-11
17.1,63,36,33.249,-81.629,3.88508,0.64693,14.37084,37.61947,-5.03963,991.53387,3.93159,0.79256,0,331.4256,0.75574,1.448e-11,1,1,4.1867703748366125e-11
17.1,64,36,33.249,-81.628,3.87967,0.62942,14.38007,37.5851,-5.56296,991.53162,3.93039,0.80667,0,331.5394,0.75437,7.238e-12,1,1,3.8833186666309416e-11
17.1,65,36,33.249,-81.627,3.87411,0.61055,14.3908,37.54673,-6.07567,991.54059,3.92912,0.82119,0,331.38965,0.74988,1.046e-11,1,1,4.1322584243275173e-11
17.1,66,36,33.249,-81.626,3.86709,0.5922,14.40295,37.50558,-6.57738,991.55908,3.92787,0.83461,0,331.09824,0.74976,1.126e-11,1,1,4.7992415597164495e-11
17.1,67,36,33.249,-81.625,3.85771,0.57467,14.41677,37.46129,-7.08062,991.59088,3.92668,0.84692,0,330.69113,0.75393,2.319e-11,1,1,4.657721430767481e-11
17.1,68,36,33.249,-81.624,3.83965,0.55698,14.43652,37.40435,-7.67251,991.68213,3.92544,0.85964,0,329.91736,0.75122,1.944e-11,1,1,5.669034686128782e-11
